Unnamed: 0,Employee Data Details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,[Dept 2],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 3],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 4],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 5],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 6],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal,,296491.98258372,359711.40379131,303334.65461184,280564.8013872,297395.7325784,231417.26209665,306392.89840768,304791.76302158,318803.95315758,329913.3041393,314176.76013867,353565.82086696,,68.02302,67.0419033333333,70.7891833333333,70.81003,75.3446333333333,77.0670233333333,78.0928533333333,80.3267033333333,83.9782833333333,87.0182566666666,89.14596,92.2125166666666
,Check,,1.16415321826934e-10,-1.16415321826934e-10,5.82076609134674e-11,-5.82076609134674e-11,1.16415321826934e-10,5.82076609134674e-11,-5.82076609134674e-11,1.16415321826934e-10,0.0,0.0,0.0,-5.82076609134674e-11,,1.4210854715202e-14,0.0,-1.4210854715202e-14,1.4210854715202e-14,-1.4210854715202e-14,-1.4210854715202e-14,-1.4210854715202e-14,-2.8421709430404e-14,-1.4210854715202e-14,0.0,0.0,1.4210854715202e-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,ENGAWA,,,,,,,,,,,,,,,,,,,,,,,,,
,Entity level Dept,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DM,72322.89924244,76239.78899709,87543.12403352,97330.18190148,86076.06987645,88092.22357068,88429.0325728,90974.82435478,87261.5027072499,90385.0710860199,81591.47865944,79607.87754176,,20.1788233333333,21.24693,23.2867233333333,24.3580966666666,24.2581966666666,25.5693266666666,24.2845566666666,24.1326,24.0,24.0,23.0,22.5
,,PG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,IM,75766.8446812199,84278.035048,86595.86113336,87573.55612236,81704.1557493,80721.14126979,81124.22148416,81219.9802608,73883.7755827499,84781.0439736,92246.71448525,85844.60063652,,22.4279733333333,25.0061166666666,23.88233,22.39799,21.4289666666666,21.4274566666666,20.7886633333333,19.46625,19.8044533333333,22.5150566666666,24.0075133333333,24.67494
,,CG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,D2C,21569.9266659799,22751.75780653,22886.1003736,29379.61821696,26547.22517625,27090.86793126,22256.1890368,24324.2593275,26277.76671175,27073.34885576,36560.12230695,35624.1601186,,8.133,7.31441666666666,7.32683333333333,8.55587666666666,8.30025,7.07341666666666,6.38133333333333,6.29566666666666,8.35908333333333,8.43066666666666,12.3935733333333,12.21283
,,POKKT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Corporate,47425.482566,22687.7105028499,-6617.67239519999,16600.42578612,22391.96067765,21236.54865885,17076.8287052,11981.9010305599,6389.7650945,14003.5261254,21035.0650554,69194.9422405599,,6.20666666666666,6.20425,6.30866666666666,6.07225,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,[Dept 1],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 2],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 3],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 4],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 5],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,[Dept 6],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal,,217085.15315564,205957.29235447,190407.41314528,230883.78202692,216719.41147965,217140.78143058,208886.27179896,208500.96497364,193812.810096249,216242.99004078,231433.380507039,270271.58053744,,56.9464633333333,59.7717133333333,60.8045533333333,61.3842133333333,59.9874133333333,60.0702,57.4545533333333,55.8945166666666,58.1635366666666,60.9457233333333,65.4010866666666,65.38777
,Check,,0,0.0,-2.91038304567337e-11,5.82076609134674e-11,2.91038304567337e-11,-8.73114913702011e-11,2.91038304567337e-11,0.0,-2.91038304567337e-11,-2.91038304567337e-11,0.0,5.82076609134674e-11,,0,-7.105427357601e-15,0.0,0.0,-7.105427357601e-15,0.0,7.105427357601e-15,0.0,-7.105427357601e-15,0.0,1.4210854715202e-14,1.4210854715202e-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FX,,,,,,,,,,,,,,,,,,,,,,,,,
,,Local Currency/USD,2501,2502.0,2503.0,2504.0,2505.0,2506.0,2507.0,2508.0,2509.0,2510.0,2511.0,2512.0,,,,,,,,,,,,,
,,CNY,0.13843145,0.13679791,0.13749431,0.13528367,0.13820063,0.13966662,0.14091592,0.13939448,0.14079701,0.14232503,0.14121595,0.14242665,,,,,,,,,,,,,
,,HKD,0.12862909,0.12827119,0.12857549,0.12713317,0.12781222,0.12786818,0.12821316,0.12769264,0.12867842,0.12990967,0.1288712,0.12846003,,,,,,,,,,,,,
,,IDR,6.158e-05,6.04e-05,6.078e-05,5.922e-05,6.094e-05,6.186e-05,6.117e-05,6.043e-05,6.132e-05,6.058e-05,6.002e-05,5.963e-05,,,,,,,,,,,,,
,,INR,0.01151446,0.011364,0.01162932,0.01143919,0.01175643,0.0117216,0.01166057,0.01126522,0.0113323,0.01151933,0.01128098,0.01113038,,,,,,,,,,,,,
,,JPY,0.00643258,0.00658381,0.00666392,0.00682044,0.00696645,0.00693777,0.00682856,0.00672382,0.00676525,0.00666806,0.00644919,0.00639148,,,,,,,,,,,,,
,,KRW,0.00068653,0.00068781,0.00068487,0.00068396,0.00071663,0.00073313,0.00073036,0.00071845,0.00071742,0.00071144,0.00069041,0.00068823,,,,,,,,,,,,,
,,MYR,0.22627144,0.22351928,0.22678647,0.2267132,0.2343257,0.23703403,0.23629312,0.23538939,0.23792335,0.23974213,0.24121801,0.24510489,,,,,,,,,,,,,
,,PHP,0.01719212,0.01718675,0.01739395,0.0175041,0.01791718,0.01777992,0.01754999,0.01741016,0.01734509,0.01721268,0.01709258,0.0169763,,,,,,,,,,,,,
,,SAR,0.26534083,0.26418809,0.26620993,0.25988065,0.26761338,0.26740783,0.2710208,0.26406118,0.26773492,0.27230821,0.26893436,0.26667485,,,,,,,,,,,,,
,,SGD,0.73832093,0.73932608,0.74550101,0.74939734,0.77193232,0.78405741,0.78146799,0.77465141,0.77779558,0.77853151,0.77214052,0.77601147,,,,,,,,,,,,,
,,THB,0.02951046,0.02948909,0.02946992,0.02943233,0.03029863,0.03086525,0.03077241,0.03077255,0.03112172,0.03109925,0.0311307,0.03162449,,,,,,,,,,,,,
,,TWD,0.03043138,0.03030765,0.03022588,0.03028644,0.03252226,0.03412952,0.03398242,0.03305908,0.03283266,0.03297599,0.03233458,0.03192893,,,,,,,,,,,,,
,,USD,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
,,VND,3.977e-05,3.943e-05,3.916e-05,3.854e-05,3.847e-05,3.859e-05,3.835e-05,3.798e-05,3.793e-05,3.826e-05,3.808e-05,3.805e-05,,,,,,,,,,,,,
